Date,Total Positive,Total Negative,Total Deaths,Tests,Percent Positive,Positive,Negative,Deaths,Montgomery County Positives,MontCo New Cases,Philadelphia County Positives,Philly New Cases,MontCo 14 Day ,Philly 14 Day,MontCo Goal,Philly Goal,PA 14 Day Deaths,PA 14 Day Positives
6-Mar,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,414,792,0,0
7-Mar,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,414,792,0,0
8-Mar,4,0,0,2,0.0,0,2,0,0,0,0,0,0,0,414,792,0,0
9-Mar,7,0,0,3,0.0,0,3,0,0,0,0,0,0,0,414,792,0,0
10-Mar,12,0,0,5,0.0,0,5,0,0,0,0,0,0,0,414,792,0,0
11-Mar,15,88,0,145,0.0,0,145,0,0,0,0,0,0,0,414,792,0,0
12-Mar,22,116,0,62,0.02,1,61,0,0,0,0,0,0,0,414,792,0,0
13-Mar,33,140,0,84,0.11,9,75,0,0,0,0,0,0,0,414,792,0,0
14-Mar,47,205,0,99,0.13,13,86,0,0,0,0,0,0,0,414,792,0,0
15-Mar,63,205,0,49,0.14,7,42,0,0,0,0,0,0,0,414,792,0,0
16-Mar,76,670,0,295,0.33,96,199,0,0,0,0,0,0,0,414,792,0,0
17-Mar,96,879,0,229,0.04,10,219,0,0,0,0,0,0,0,414,792,0,0
18-Mar,133,1187,0,345,0.09,30,315,0,0,0,0,0,0,0,414,792,0,0
19-Mar,185,1608,1,473,0.11,51,422,1,47,47,33,33,0,0,414,792,1,183
20-Mar,268,2574,1,1049,0.08,83,966,0,59,12,42,9,12,9,414,792,1,266
21-Mar,371,3766,2,1295,0.08,103,1192,1,71,12,69,27,24,36,414,792,2,367
22-Mar,479,4964,2,1306,0.08,108,1198,0,87,16,91,22,40,58,414,792,2,472
23-Mar,644,6595,6,1796,0.09,165,1631,4,129,42,128,37,82,95,414,792,6,632
24-Mar,851,8643,7,2255,0.09,207,2048,1,144,15,177,49,97,144,414,792,7,836
25-Mar,1127,11193,11,2826,0.1,276,2550,4,172,28,257,80,125,224,414,792,11,1105
26-Mar,1687,16441,16,5808,0.1,560,5248,5,282,110,402,145,235,369,414,792,16,1654
27-Mar,2218,21016,22,5106,0.1,531,4575,6,374,92,530,128,327,497,414,792,22,2171
28-Mar,2751,25254,34,4771,0.11,533,4238,12,411,37,709,179,364,676,414,792,34,2688
29-Mar,3394,30061,38,5450,0.12,643,4807,4,488,77,865,156,441,832,414,792,38,3318
30-Mar,4087,33777,49,4087,0.16,642,3445,11,540,52,1007,142,493,974,414,792,49,3991
31-Mar,4843,37645,63,4624,0.16,756,3868,14,570,30,1197,190,523,1164,414,792,63,4710
1-Apr,5805,42427,74,5744,0.17,962,4782,11,649,79,1478,281,602,1445,414,792,73,5620
2-Apr,7016,47698,90,6482,0.19,1211,5271,16,735,86,1852,374,676,1810,414,792,89,6748
3-Apr,8420,53695,102,8420,0.19,1597,6823,12,875,140,2284,432,804,2215,414,792,100,8049
4-Apr,10017,60013,136,7915,0.2,1597,6318,34,982,107,2610,326,895,2519,414,792,134,9538
5-Apr,11510,66261,150,7741,0.19,1493,6248,14,1111,129,3135,525,982,3007,414,792,144,10866
6-Apr,12980,70874,162,6083,0.24,1470,4613,12,1230,119,3611,476,1086,3434,414,792,155,12129
7-Apr,14559,76719,240,7424,0.21,1579,5845,78,1359,129,4012,401,1187,3755,414,792,229,13432
8-Apr,16239,82299,309,7260,0.23,1680,5580,69,1521,162,4456,444,1239,4054,414,792,293,14552
9-Apr,18228,87374,338,7064,0.28,1989,5075,29,1693,172,5029,573,1319,4499,414,792,316,16010
10-Apr,19979,93040,416,7417,0.24,1751,5666,78,1889,196,5521,492,1478,4812,414,792,382,17228
11-Apr,21655,98498,494,7134,0.23,1676,5458,78,2053,164,6022,501,1565,5157,414,792,456,18261
12-Apr,22833,102057,507,4737,0.25,1178,3559,13,2164,111,6352,330,1624,5345,414,792,458,18746
13-Apr,24199,105593,524,4902,0.28,1366,3536,17,2285,121,6810,458,1715,5613,414,792,461,19356
14-Apr,25345,108286,585,3839,0.3,1148,2691,61,2354,69,7121,311,1705,5643,414,792,511,19540
15-Apr,26490,111094,647,3953,0.3,1182,2771,62,2475,121,7347,226,1740,5495,414,792,557,19474
16-Apr,27735,113735,707,3886,0.32,1245,2641,60,2544,69,7684,337,1669,5400,414,792,605,19315
17-Apr,29441,117932,756,5903,0.29,1706,4197,49,2684,140,8138,454,1702,5528,414,792,620,19424
18-Apr,31069,122896,836,6592,0.25,1628,4964,80,2781,97,8502,364,1670,5367,414,792,686,19559
19-Apr,32284,126570,1112,4889,0.25,1215,3674,276,2913,132,8764,262,1683,5153,414,792,950,19304
20-Apr,33232,129720,1204,4098,0.23,948,3150,92,3040,127,9038,274,1681,5026,414,792,964,18673
21-Apr,34528,132323,1564,3899,0.33,1296,2603,360,3154,114,9391,353,1633,4935,414,792,1255,18289
22-Apr,35684,136272,1622,5105,0.23,1156,3949,58,3294,140,9696,305,1601,4667,414,792,1284,17456
23-Apr,37053,142061,1421,7158,0.19,1369,5789,-201,3395,101,10090,394,1506,4569,414,792,1005,17074
24-Apr,38652,147491,1492,7029,0.23,1599,5430,71,3525,130,10507,417,1472,4485,414,792,998,16997
25-Apr,40049,152886,1537,6792,0.21,1397,5395,45,3627,102,10893,386,1463,4541,414,792,1030,17216
26-Apr,41165,157428,1550,5658,0.2,1116,4542,13,3733,106,11152,259,1448,4342,414,792,1026,16966
27-Apr,42050,161372,1597,4829,0.18,885,3944,47,3817,84,11361,209,1463,4240,414,792,1012,16705
28-Apr,43264,165824,1716,5666,0.21,1214,4452,119,4043,226,11604,243,1568,4257,414,792,1069,16774
29-Apr,44366,170517,2195,5795,0.19,1102,4693,479,4177,134,11885,281,1633,4201,414,792,1488,16631
30-Apr,45763,175602,2292,6482,0.22,1397,5085,97,4307,130,12297,412,1623,4159,414,792,1536,16322
1-May,46971,180477,2354,6083,0.2,1208,4875,62,4406,99,12544,247,1625,4042,414,792,1518,15902
2-May,48305,187071,2418,7928,0.17,1334,6594,64,4487,81,12948,404,1574,4184,414,792,1306,16021
3-May,49267,191374,2444,5265,0.18,962,4303,26,4552,65,13179,231,1512,4141,414,792,1240,16035
4-May,50092,195498,2458,4949,0.17,825,4124,14,4645,93,13316,137,1491,3925,414,792,894,15564
5-May,50957,199925,3012,5292,0.16,865,4427,554,4687,42,13563,247,1393,3867,414,792,1390,15273
6-May,51845,204495,3106,5458,0.16,888,4570,94,4827,140,13742,179,1432,3652,414,792,1685,14792
7-May,52915,209873,3416,6448,0.17,1070,5378,310,4915,88,14006,264,1390,3499,414,792,1924,14263
8-May,54238,216231,3616,7681,0.17,1323,6358,200,5037,122,14384,378,1410,3491,414,792,2079,14189
9-May,55316,221791,3688,6638,0.16,1078,5560,72,5116,79,14637,253,1383,3485,414,792,2138,14151
10-May,56611,227772,3707,7276,0.18,1295,5981,19,5260,144,14883,246,1443,3522,414,792,2110,14561
11-May,57154,231704,3731,4475,0.12,543,3932,24,5292,32,15008,125,1249,3404,414,792,2015,13890
12-May,57991,237989,3806,7122,0.12,837,6285,75,5442,150,15218,210,1265,3333,414,792,1611,13625
13-May,58698,244171,3943,6889,0.102627377,707,6182,137,5513,71,15376,158,1206,3079,414,792,1651,12935
14-May,59636,251559,4218,8326,0.11265914,938,7388,275,5583,70,15624,248,1177,3080,414,792,1864,12665
15-May,60622,259210,4342,8637,0.114160009,986,7651,124,5697,114,15835,211,1210,2887,414,792,1924,12317
16-May,61611,266225,4403,8004,0.123563218,989,7015,61,5797,100,16032,197,1245,2853,414,792,1959,12344
17-May,62234,270670,4418,5068,0.122928177,623,4445,15,5872,75,16140,108,1227,2824,414,792,1960,12142
18-May,63056,277553,4505,7705,0.106683971,822,6883,87,6012,140,16340,200,1325,2777,414,792,1493,12099
19-May,63666,286034,4624,9091,0.067099329,610,8481,119,6063,51,16487,147,1236,2745,414,792,1518,11821
20-May,64412,293244,4767,7956,0.093765711,746,7210,143,6154,91,16645,158,1239,2639,414,792,1351,11497
21-May,65392,303514,4869,11250,0.08711111099999999,980,10270,102,6268,114,16840,195,1231,2456,414,792,1253,11154
22-May,66258,312743,4984,10095,0.08578504199999999,866,9229,115,6366,98,17057,217,1250,2420,414,792,1296,10942
23-May,66983,321469,5096,9451,0.07671145900000001,725,8726,112,6464,98,17208,151,1204,2325,414,792,1389,10372
24-May,67713,328384,5124,7645,0.095487247,730,6915,28,6525,61,17384,176,1233,2376,414,792,1393,10559
25-May,68186,334928,5139,7017,0.067407724,473,6544,15,6576,51,17495,111,1134,2277,414,792,1333,10195
26-May,68637,339835,5152,5358,0.0841731989548339,451,4907,13,6598,22,17597,102,1085,2221,414,792,1209,9939
27-May,69417,349990,5265,10935,0.07133058984910838,780,10155,113,6738,140,17839,242,1155,2215,414,792,1047,9781
28-May,70042,357804,5373,8439,0.07406090769048465,625,7814,108,6811,73,17972,133,1114,2137,414,792,1031,9420
29-May,70735,366970,5464,9859,0.07029110457450045,693,9166,91,6906,95,18156,184,1109,2124,414,792,1061,9124
